name                                                                                                                             type_desc                                                   
-------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------------
AddrBook                                                                                                                         USER_TABLE                                                  
AdjunctRule                                                                                                                      USER_TABLE                                                  
AppLifeCycle                                                                                                                     USER_TABLE                                                  
Approval                                                                                                                         USER_TABLE                                                  
ApprovalRequest                                                                                                                  USER_TABLE                                                  
AppStorageMap                                                                                                                    USER_TABLE                                                  
ArchiveAuditTrail                                                                                                                USER_TABLE                                                  
ArchiveMailServer                                                                                                                USER_TABLE                                                  
ArchiveMailServerAgent                                                                                                           USER_TABLE                                                  
ArchiveMailServerAgentRuns                                                                                                       USER_TABLE                                                  
ArchivePointEntryAuditTrail                                                                                                      USER_TABLE                                                  
ArchivePointEntrySync                                                                                                            USER_TABLE                                                  
ArchivePointFolderProp                                                                                                           USER_TABLE                                                  
ArchivePointFolderSync                                                                                                           USER_TABLE                                                  
ArchivePointUsage                                                                                                                USER_TABLE                                                  
ArchivePointUsageHistory                                                                                                         USER_TABLE                                                  
ArchiveRepositoryInfo                                                                                                            USER_TABLE                                                  
ArchiveServer                                                                                                                    USER_TABLE                                                  
ArchiveStorageProject                                                                                                            USER_TABLE                                                  
ArchiveStorageProjectCrawlState                                                                                                  USER_TABLE                                                  
ArchiveUserAlias                                                                                                                 USER_TABLE                                                  
ArchiveUserAliasHistory                                                                                                          USER_TABLE                                                  
ArchiveUserHistory                                                                                                               USER_TABLE                                                  
ArchiveUserInfo                                                                                                                  USER_TABLE                                                  
ArchiveUserRuns                                                                                                                  USER_TABLE                                                  
BackgroundTask                                                                                                                   USER_TABLE                                                  
BigDBParam                                                                                                                       USER_TABLE                                                  
BigDBSpace                                                                                                                       USER_TABLE                                                  
BigDBStore                                                                                                                       USER_TABLE                                                  
CannedResponse                                                                                                                   USER_TABLE                                                  
CaseAuditTrail                                                                                                                   USER_TABLE                                                  
CaseDataSource                                                                                                                   USER_TABLE                                                  
CaseDataSourceRuns                                                                                                               USER_TABLE                                                  
CaseDataSourceScheduledRuns                                                                                                      USER_TABLE                                                  
CaseExport                                                                                                                       USER_TABLE                                                  
CaseInfo                                                                                                                         USER_TABLE                                                  
CaseInPlaceItem                                                                                                                  USER_TABLE                                                  
CaseItem                                                                                                                         USER_TABLE                                                  
CaseItemProperty                                                                                                                 USER_TABLE                                                  
CasePrivileges                                                                                                                   USER_TABLE                                                  
CaseRedaction                                                                                                                    USER_TABLE                                                  
CaseReviewer                                                                                                                     USER_TABLE                                                  
CaseSchema                                                                                                                       USER_TABLE                                                  
CaseSchemaFields                                                                                                                 USER_TABLE                                                  
CaseSearch                                                                                                                       USER_TABLE                                                  
CaseTag                                                                                                                          USER_TABLE                                                  
CaseTask                                                                                                                         USER_TABLE                                                  
CaseTaskAnnotation                                                                                                               USER_TABLE                                                  
CaseTaskAuditTrail                                                                                                               USER_TABLE                                                  
CaseTaskEntity                                                                                                                   USER_TABLE                                                  
CaseUserData                                                                                                                     USER_TABLE                                                  
CaseUserPreference                                                                                                               USER_TABLE                                                  
CaseUserSubscription                                                                                                             USER_TABLE                                                  
CaseWorkspacePreservation                                                                                                        USER_TABLE                                                  
Category                                                                                                                         USER_TABLE                                                  
CategoryAction                                                                                                                   USER_TABLE                                                  
CategoryDispositionRun                                                                                                           USER_TABLE                                                  
CategoryDispositionTransaction                                                                                                   USER_TABLE                                                  
CcPackageAttach                                                                                                                  USER_TABLE                                                  
ClassificationGuide                                                                                                              USER_TABLE                                                  
ClassificationRule                                                                                                               USER_TABLE                                                  
ClassifiedReason                                                                                                                 USER_TABLE                                                  
Classifier                                                                                                                       USER_TABLE                                                  
ClassifierAuditTrail                                                                                                             USER_TABLE                                                  
ClassifierTenantConfig                                                                                                           USER_TABLE                                                  
ClassifyReason                                                                                                                   USER_TABLE                                                  
CloudCredentials                                                                                                                 USER_TABLE                                                  
CloudStore                                                                                                                       USER_TABLE                                                  
ComplianceMail                                                                                                                   USER_TABLE                                                  
ConceptWordList                                                                                                                  USER_TABLE                                                  
ContentCollection                                                                                                                USER_TABLE                                                  
CustCollPackage                                                                                                                  USER_TABLE                                                  
Custodian                                                                                                                        USER_TABLE                                                  
CustodianAlias                                                                                                                   USER_TABLE                                                  
CustodianCollection                                                                                                              USER_TABLE                                                  
CustodianCollectionRun                                                                                                           USER_TABLE                                                  
CustodianLegalHold                                                                                                               USER_TABLE                                                  
CustodianSurvey                                                                                                                  USER_TABLE                                                  
CustodianSurveyAction                                                                                                            USER_TABLE                                                  
CustodianSurveyAnswers                                                                                                           USER_TABLE                                                  
DbArchive                                                                                                                        USER_TABLE                                                  
DepartmentReviewStat                                                                                                             USER_TABLE                                                  
DeptBackFillRun                                                                                                                  USER_TABLE                                                  
DeptMailComplianceStat                                                                                                           USER_TABLE                                                  
DiskStorageUnit                                                                                                                  USER_TABLE                                                  
DiskVolume                                                                                                                       USER_TABLE                                                  
DispositionAuthority                                                                                                             USER_TABLE                                                  
Doc                                                                                                                              USER_TABLE                                                  
DomainInfo                                                                                                                       USER_TABLE                                                  
EntityClearance                                                                                                                  USER_TABLE                                                  
EntityMarking                                                                                                                    USER_TABLE                                                  
EntityObject                                                                                                                     USER_TABLE                                                  
EntitySearchStore                                                                                                                USER_TABLE                                                  
EscalationChain                                                                                                                  USER_TABLE                                                  
EscalationEntry                                                                                                                  USER_TABLE                                                  
EventLog                                                                                                                         USER_TABLE                                                  
ExportTask                                                                                                                       USER_TABLE                                                  
ExportTaskEntry                                                                                                                  USER_TABLE                                                  
ExternalWorm                                                                                                                     USER_TABLE                                                  
FedDocumentTransport                                                                                                             USER_TABLE                                                  
FederationSecurity                                                                                                               USER_TABLE                                                  
FeedFileTask                                                                                                                     USER_TABLE                                                  
FieldValueFilter                                                                                                                 USER_TABLE                                                  
FileAgentRuns                                                                                                                    USER_TABLE                                                  
FilePlan                                                                                                                         USER_TABLE                                                  
FilePlanCustomPrivileges                                                                                                         USER_TABLE                                                  
FilePlanFavorite                                                                                                                 USER_TABLE                                                  
FilePlanPrivileges                                                                                                               USER_TABLE                                                  
FileSingleInstanceDigest                                                                                                         USER_TABLE                                                  
FileTag                                                                                                                          USER_TABLE                                                  
FileTagAction                                                                                                                    USER_TABLE                                                  
FileTreeAuditTrail                                                                                                               USER_TABLE                                                  
FileTreeDashboard                                                                                                                USER_TABLE                                                  
FileTreeDataCollect                                                                                                              USER_TABLE                                                  
FileTreeDispositionRuns                                                                                                          USER_TABLE                                                  
FileTreeEntry                                                                                                                    USER_TABLE                                                  
FileTreeEntrySyncAction                                                                                                          USER_TABLE                                                  
FileTreePrivileges                                                                                                               USER_TABLE                                                  
FileTreeRemediation                                                                                                              USER_TABLE                                                  
FileTreeRemediationRuns                                                                                                          USER_TABLE                                                  
FileTreeScheduledRuns                                                                                                            USER_TABLE                                                  
FileTreeSearch                                                                                                                   USER_TABLE                                                  
GlobalCoordCluster                                                                                                               USER_TABLE                                                  
GlobalCoordRuntime                                                                                                               USER_TABLE                                                  
GlobalCustodian                                                                                                                  USER_TABLE                                                  
GlobalCustodianAlias                                                                                                             USER_TABLE                                                  
IMAPTransport                                                                                                                    USER_TABLE                                                  
ImportTask                                                                                                                       USER_TABLE                                                  
ImportUserAlias                                                                                                                  USER_TABLE                                                  
IndexDocDelete                                                                                                                   USER_TABLE                                                  
IndexDocRetry                                                                                                                    USER_TABLE                                                  
IndexStore                                                                                                                       USER_TABLE                                                  
InPlaceFileAuditTrail                                                                                                            USER_TABLE                                                  
InPlaceFileDispositionRuns                                                                                                       USER_TABLE                                                  
InPlaceFileItem                                                                                                                  USER_TABLE                                                  
InPlaceFileItemStaticTag                                                                                                         USER_TABLE                                                  
InPlaceFileScheduledRuns                                                                                                         USER_TABLE                                                  
InPlaceFolderStats                                                                                                               USER_TABLE                                                  
InPlaceIngestDisposeStats                                                                                                        USER_TABLE                                                  
InPlaceMailItem                                                                                                                  USER_TABLE                                                  
InPlaceStaticTagLexiconMap                                                                                                       USER_TABLE                                                  
InPlaceTag                                                                                                                       USER_TABLE                                                  
InPlaceTagStats                                                                                                                  USER_TABLE                                                  
InstanceDataFiles                                                                                                                USER_TABLE                                                  
InstanceMergeDetails                                                                                                             USER_TABLE                                                  
InstanceSnapshot                                                                                                                 USER_TABLE                                                  
InstanceSnapshotSegments                                                                                                         USER_TABLE                                                  
InvestigationRequest                                                                                                             USER_TABLE                                                  
Label                                                                                                                            USER_TABLE                                                  
LabelItem                                                                                                                        USER_TABLE                                                  
legacyChatSyncState                                                                                                              USER_TABLE                                                  
LegacySourceReaderParam                                                                                                          USER_TABLE                                                  
LegacySystem                                                                                                                     USER_TABLE                                                  
LegacySystemAddress                                                                                                              USER_TABLE                                                  
LegacySystemFilePlan                                                                                                             USER_TABLE                                                  
LegacySystemHoldInfo                                                                                                             USER_TABLE                                                  
LegacySystemLegalHold                                                                                                            USER_TABLE                                                  
LegacySystemMessage                                                                                                              USER_TABLE                                                  
LegalHold                                                                                                                        USER_TABLE                                                  
LexAnal                                                                                                                          USER_TABLE                                                  
LexHits                                                                                                                          USER_TABLE                                                  
LexHitsSummary                                                                                                                   USER_TABLE                                                  
LifeCyclePhase                                                                                                                   USER_TABLE                                                  
LifeCycleRun                                                                                                                     USER_TABLE                                                  
LifeCycleRunEntry                                                                                                                USER_TABLE                                                  
LogEventAuditTrail                                                                                                               USER_TABLE                                                  
LogEventFile                                                                                                                     USER_TABLE                                                  
LogEventLegalhold                                                                                                                USER_TABLE                                                  
LogEventObject                                                                                                                   USER_TABLE                                                  
LogEventPrivileges                                                                                                               USER_TABLE                                                  
LogEventRepository                                                                                                               USER_TABLE                                                  
LogEventSchema                                                                                                                   USER_TABLE                                                  
LogEventStore                                                                                                                    USER_TABLE                                                  
LRule                                                                                                                            USER_TABLE                                                  
LSMImportProblem                                                                                                                 USER_TABLE                                                  
LsmObject                                                                                                                        USER_TABLE                                                  
LSMStats                                                                                                                         USER_TABLE                                                  
MailboxFolder                                                                                                                    USER_TABLE                                                  
MailboxSync                                                                                                                      USER_TABLE                                                  
MailboxUsage                                                                                                                     USER_TABLE                                                  
MailboxUsageHistory                                                                                                              USER_TABLE                                                  
MailPurgeConfirmation                                                                                                            USER_TABLE                                                  
MailPurgeRequest                                                                                                                 USER_TABLE                                                  
MailPurgeTransaction                                                                                                             USER_TABLE                                                  
MailRetentionManager                                                                                                             USER_TABLE                                                  
MailRetentionUserRuns                                                                                                            USER_TABLE                                                  
MailRetentionUserStats                                                                                                           USER_TABLE                                                  
MailRetentionUserStatsHistory                                                                                                    USER_TABLE                                                  
ManagedEmailDomain                                                                                                               USER_TABLE                                                  
MbSyncAuditTrail                                                                                                                 USER_TABLE                                                  
Message                                                                                                                          USER_TABLE                                                  
MessageImport                                                                                                                    USER_TABLE                                                  
MessageTransport                                                                                                                 USER_TABLE                                                  
MessageTransportProblem                                                                                                          USER_TABLE                                                  
MigrationTask                                                                                                                    USER_TABLE                                                  
MsgTransportConfirmation                                                                                                         USER_TABLE                                                  
MTAExecutionTranscript                                                                                                           USER_TABLE                                                  
MTARecon                                                                                                                         USER_TABLE                                                  
MTASIS                                                                                                                           USER_TABLE                                                  
MTAStats                                                                                                                         USER_TABLE                                                  
MTATranscript                                                                                                                    USER_TABLE                                                  
NamedLegalHold                                                                                                                   USER_TABLE                                                  
NamedLegalHoldPrivileges                                                                                                         USER_TABLE                                                  
OAuthAccessor                                                                                                                    USER_TABLE                                                  
OAuthConsumer                                                                                                                    USER_TABLE                                                  
ParameterElement                                                                                                                 USER_TABLE                                                  
ParameterSet                                                                                                                     USER_TABLE                                                  
PartnerRegApproval                                                                                                               USER_TABLE                                                  
PartnerRegRequests                                                                                                               USER_TABLE                                                  
PersistentChatMessage                                                                                                            USER_TABLE                                                  
PersistentChatSyncState                                                                                                          USER_TABLE                                                  
PersistentChatUserRuns                                                                                                           USER_TABLE                                                  
PmTag                                                                                                                            USER_TABLE                                                  
PreApprovedDocument                                                                                                              USER_TABLE                                                  
ProfileTransport                                                                                                                 USER_TABLE                                                  
ProtectedKey                                                                                                                     USER_TABLE                                                  
PublicFolderRoot                                                                                                                 USER_TABLE                                                  
PurgeDoc                                                                                                                         USER_TABLE                                                  
RecategorizationTask                                                                                                             USER_TABLE                                                  
ReceivedFileStore                                                                                                                USER_TABLE                                                  
Record                                                                                                                           USER_TABLE                                                  
RecordAuditTrail                                                                                                                 USER_TABLE                                                  
RecordDataSource                                                                                                                 USER_TABLE                                                  
RecordDataSourceRuns                                                                                                             USER_TABLE                                                  
RecordDataSourceScheduledRuns                                                                                                    USER_TABLE                                                  
RecordLink                                                                                                                       USER_TABLE                                                  
RecordRelationship                                                                                                               USER_TABLE                                                  
RecordSavedSearch                                                                                                                USER_TABLE                                                  
RecordSchema                                                                                                                     USER_TABLE                                                  
RecordSchemaFields                                                                                                               USER_TABLE                                                  
RecordStore                                                                                                                      USER_TABLE                                                  
RecordUserData                                                                                                                   USER_TABLE                                                  
RecordUserPreference                                                                                                             USER_TABLE                                                  
RemoteSearchHost                                                                                                                 USER_TABLE                                                  
ReportVaultItem                                                                                                                  USER_TABLE                                                  
RestoreSync                                                                                                                      USER_TABLE                                                  
RestoreTask                                                                                                                      USER_TABLE                                                  
RestrictedSearchRequest                                                                                                          USER_TABLE                                                  
RetentionCode                                                                                                                    USER_TABLE                                                  
RetentionPeriod                                                                                                                  USER_TABLE                                                  
RetentionPeriodPrivileges                                                                                                        USER_TABLE                                                  
RetentionProcess                                                                                                                 USER_TABLE                                                  
RetentionProcessHistory                                                                                                          USER_TABLE                                                  
RetentionTask                                                                                                                    USER_TABLE                                                  
ReviewBucket                                                                                                                     USER_TABLE                                                  
ReviewBucketImportRun                                                                                                            USER_TABLE                                                  
ReviewBucketItem                                                                                                                 USER_TABLE                                                  
ReviewPhase                                                                                                                      USER_TABLE                                                  
RfsKey                                                                                                                           USER_TABLE                                                  
SavedUserSearch                                                                                                                  USER_TABLE                                                  
